0,Davinci Spartan,MTB,2399.00,6,davinci_spartan.jpeg
0,Davinci Troy,MTB,4099.99,8,davinci_troy.jpg
0,Giant Glory,MTB,9299.00,8,giant_glory.jpg
0,Giant Stance,MTB,2299.00,4,giant_stance.jpg
0,Giant Stance 2,MTB,2499.00,7,giant_stance2.jpg
0,Giant Trance,MTB,3499.00,10,giant_trance.jpg
0,Giant Trance 3,MTB,2499.00,8,giant_trance3.jpg
0,Norco Range C1,MTB,9839.00,12,norco_rangec1.jpg
0,Norco Shore 2,MTB,5699.00,5,norco_shore2.png
0,Canyon Mountain Bike Pants,ACC,122.95,20,CanyonmtbPants.jpg
0,Fox Racing Ranger Pants,ACC,164.95,25,FoxRacingRangerPants.jpg
0,Fox Mountain Bike Jersey,ACC,99.95,30,FoxMBJersey.jpg
0,Smartwool Long Sleeve Tee,ACC,89.99,20,SmartwoolMTBLongSleeve.jpg
0,Mountain Bike Graphic Tee,ACC,24.99,40,MountainBikeGraphicTee.jpg
0,Fox Racing Mainframe,ACC,57.49,12,FoxMainframe.jpg
0,Fox Racing Speedframe,ACC,82.99,6,FoxSpeedframe.jpg
0,Fox Racing Speedframe Pro,ACC,122.50,8,FoxSpeedFramePro.jpg
0,Giro Fixture,ACC,83.99,12,GiroFixture.jpg  
